"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
11.26,254530,1319,29673,17802,2236,90481,557996,148975844,846220,3153,5979,12706167,125082,4871203,56,186027239,1150227
11.16,238280,637,27437,14317,3148,73268,520763,136740628,1103527,2988,4166,11052613,148868,4242683,56,169067509,1486671
11.10,231695,1360,26335,11961,4111,62059,501486,130072179,941962,2922,3201,10126861,131182,3959700,56,159712175,1251917
11.01,222718,388,24457,9553,1145,47531,476771,120903291,814180,2797,2553,9122544,73849,3631622,56,147469350,1127867
10.20,212694,838,22662,8131,2231,39303,439493,109952976,756336,2593,2045,8194485,60547,3293315,56,132810279,952747
10.10,206140,666,21512,6683,1509,34600,422482,101454423,961626,2451,1667,7645952,57415,3061045,56,121797725,1251924
9.30,198935,1062,20390,6145,1582,30912,408994,92961209,676355,2319,1507,7165479,44347,2838664,56,110928031,909435
9.20,191629,323,19281,6015,507,28606,395514,85310313,788663,2112,1595,6740649,35503,2587314,56,101107340,977016
9.10,183953,1160,18453,6531,1537,32438,383760,78192929,576959,2008,1925,6340206,37304,2401781,56,92055274,783526
8.31,175627,380,17537,7043,815,35352,370647,71758263,647087,1877,2077,5975020,31273,2183106,56,84035115,735472
8.20,166111,1136,16487,8483,2027,41968,355514,64400891,629623,1716,2335,5526748,43723,1945468,56,75182954,812540
8.10,154885,437,15158,9216,1661,48631,334557,57669857,689933,1592,2533,5042070,41743,1669563,56,67077506,793731
7.31,145354,1313,14044,10472,2639,55589,308286,50970534,657359,1437,2703,4522066,67529,1437182,56,59099308,996707
7.20,133085,368,12475,6557,1649,58352,279178,42870704,654023,1223,2403,3804245,56936,1159320,56,49248581,760463
7.10,126275,822,11523,5896,2331,51606,257718,35921312,745927,1118,2197,3163252,66824,982521,56,40989294,888512
6.30,120077,585,10669,5424,1603,35222,242549,29831625,578188,1008,2044,2623987,47630,813219,56,33841528,663484
6.20,115055,611,9908,5229,738,27970,231930,24475454,529675,888,2380,2239388,31950,708341,56,27689123,577727
6.10,108484,885,9225,6249,1303,30840,221189,19605872,412153,780,3020,1991819,20727,617695,56,22428468,448038
5.31,100500,650,8445,7626,964,34641,210528,15316984,375368,704,3669,1791211,21392,522456,56,17734348,421672
5.20,89533,1386,7319,9521,1975,41535,173790,11118585,392186,613,4911,1553074,21258,294133,56,13057842,438750
5.10,76629,1032,6445,11393,1040,46760,156768,7702673,244518,547,6395,1331733,20882,215479,56,9306602,263218
4.30,59599,2153,4192,13255,2328,54921,123900,5264868,203595,373,4712,1073758,29980,154587,56,6543127,266567
4.20,40199,1815,2193,14463,2263,56734,97454,3284250,119489,214,5567,785282,26104,69507,56,4180789,147869
4.10,20107,2072,1179,12693,4874,53167,64768,2095152,118222,39,5937,501102,33473,29015,56,2664907,154558
3.31,4332,907,230,3487,4003,18155,23825,906271,87868,,507,197951,25174,5666,56,1150337,114632
3.20,273,70,,,25,1042,153,143221,29836,,,24213,6121,,56,206142,43236
3.10,37,2,,,0,,9,8791,2639,,,1551,439,,51,17299,3149
2.29,5,1,,,0,,,24,24,,,18,18,,7,6552,62
2.19,0,0,,,0,,,0,0,,,0,0,,5,35,6
